samsung,ksp,bond,memory,smartphone
15580,1758.189941,4.79,330.06,220.9
15320,1721.75,4.77,325.75,217.7
15620,1746.23999,4.75,322.74,217.1
15640,1743.310059,4.74,324.26,217.8
15640,1755.030029,4.74,328.6,220.1
15560,1761.98999,4.73,332.1,221.2
15780,1779.640015,4.62,326.42,219.4
15680,1775.540039,4.53,327.88,218
15800,1767.709961,4.52,323.78,216.8
15660,1760.530029,4.53,318.41,213.9
15440,1734.790039,4.53,321.5,213.4
15460,1729.76001,4.47,315.23,212.4
15320,1729.560059,4.43,321.76,214.7
15520,1760.130005,4.44,313.58,212.5
15120,1742.75,4.39,307.49,209.3
15040,1764.689941,4.4,316.75,213.7
15180,1775.72998,4.41,323.32,216.7
15220,1780.02002,4.43,328.71,220.4
15600,1792.420044,4.48,328.71,220.4
15760,1787.73999,4.44,322.31,219.3
15420,1779.219971,4.37,320.9,220.1
15120,1784.359985,4.25,321.08,220.9
15320,1802.579956,4.24,316.57,220.7
15400,1818.859985,4.24,327.17,226.2
15200,1815.25,4.23,332.76,228
15140,1823.880005,4.23,331.64,228.4
15140,1811.849976,4.2,334.24,228.4
15460,1827.349976,4.25,334.35,229.9
15600,1832.630005,4.29,336.12,233.5
15240,1846.599976,4.24,346.14,236.9
15100,1860.829956,4.21,343.8,237.4
14900,1855.969971,0,349.46,237.9
15440,1866.449951,4.2,351.79,240.6
15540,1872.810059,4.12,349.24,240.4
15540,1876.72998,4.01,348.06,241.1
15600,1879.290039,4.01,343.12,238.3
15460,1878.939941,3.97,350.91,242.9
15860,1903.949951,3.99,345.34,242
15400,1900.849976,3.98,346.83,242.3
15160,1897.069946,3.99,350.15,242.5
15060,1889.910034,4.04,352.67,243
14920,1868.040039,4.08,355.32,242.5
14880,1876.150024,4.07,355.66,244.9
15000,1899.76001,3.95,354.83,244.7
15080,1902.290039,3.91,357.12,246.4
15020,1875.420044,3.97,354.57,245.7
14820,1857.319946,4.06,349.62,242.2
14900,1870.439941,4.1,351.78,245.1
15300,1874.689941,4.15,349.86,245.4
15540,1897.310059,4.19,356.94,246.9
15420,1915.709961,4.3,360.78,250.4
15260,1919.410034,4.33,359.36,249.3
15060,1909.540039,4.4,370.45,250.5
15280,1907.869995,4.28,370.34,252.5
14900,1882.949951,4.35,372.64,252.2
14940,1914.73999,4.38,371.45,252.1
14800,1914.73999,4.45,374.19,253
14800,1935.969971,4.43,377.81,253.5
15260,1942.5,4.48,389.75,258
15520,1938.959961,4.51,392.02,258.9
15560,1942.410034,4.57,391.88,258.2
15480,1947.459961,4.57,387.32,256.9
15800,1967.849976,4.49,387.34,256.9
15340,1914.72998,4.52,382.49,255.2
15560,1913.119995,4.53,382.61,252.3
16160,1913.810059,4.57,379.57,251.7
16220,1899.130005,4.47,374.07,248.7
15900,1897.109985,4.45,373.85,248.8
15980,1927.859985,4.44,380.96,253.9
16360,1940.959961,4.47,387.09,255.9
16960,1944.339966,4.47,391.33,258.1
16800,1928.939941,4.5,388.27,254.8
17020,1925.97998,4.49,398.71,257.8
16900,1927.680054,4.43,398.71,257.8
16740,1901.800049,4.47,396.03,255.9
16720,1895.540039,4.42,395.15,255.2
16520,1904.630005,4.37,390.12,253.1
16400,1929.319946,4.35,403.07,258
17180,1950.26001,4.37,410.56,262.3
17880,1957.26001,4.35,412.43,265
17800,1953.640015,4.34,411.77,266.1
18020,1962.52002,4.31,411.51,266.1
17760,1955.719971,4.36,415.43,265.5
18340,1988.959961,4.38,416.4,267
18380,1986.140015,4.35,416.69,268.5
18600,1996.589966,4.43,413.2,267.7
18580,2009.050049,4.47,410.67,267.3
18320,2017.47998,4.59,406.03,265.5
18220,2009.23999,4.56,408.71,266.7
18520,2026.300049,4.57,411.44,266.9
18640,2020.280029,4.55,410.24,266.8
18720,2037.089966,4.49,412.96,269.9
18780,2038.109985,4.44,413.09,270.7
18720,2037.530029,4.47,411.78,270.1
18500,2029.599976,4.49,411.78,270.1
18440,2022.189941,4.48,412.27,270.5
18760,2033.319946,4.5,410.66,270.2
18900,2043.48999,4.52,411.2,270.1
18980,2051,4.47,412.3,271.5
19160,2070.080078,4.57,415.05,276
19160,2085.139893,4.58,415.58,277.3
18840,2082.550049,4.63,417.09,277.4
18600,2077.610107,4.68,424.77,278.2
18420,2086.199951,4.71,425.76,277.1
18340,2080.810059,4.7,430.17,277.8
18260,2088.320068,4.71,431.52,279.3
18600,2094.949951,4.64,440.01,282.1
18440,2089.47998,4.7,439.82,284.2
18660,2108.169922,4.68,451.59,287.4
18980,2099.850098,4.68,451.59,287.4
19380,2096.47998,4.67,449.93,288.5
19940,2115.689941,4.71,439.33,286
19640,2106.659912,4.71,434.77,281.4
19420,2069.919922,4.7,431.65,279.9
19420,2082.159912,4.75,442.42,283.9
19500,2086.669922,4.74,439.12,284.2
19960,2110.459961,4.72,442.94,287.4
19880,2115.01001,4.71,451.28,289.9
20200,2107.870117,4.7,438.61,285.8
19620,2069.72998,4.71,440.51,285.3
19660,2072.030029,4.71,451.83,290.7
19440,2081.73999,4.79,461.25,296.6
